K,n_runs,n_finished_at_K,top1_in_top33pct@K,top3_in_top33pct@K,top1_in_top50pct@K,top3_in_top50pct@K,top1_in_top67pct@K,top3_in_top67pct@K,spearman,project,group,n_runs_total
50,13,4,1,3,1,3,1,3,0.989010989010989,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_obsnoisescale_sweep,36
5,21,21,1,3,1,3,1,3,0.20519480519480518,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
10,21,21,1,3,1,3,1,3,0.46753246753246747,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
15,21,21,1,3,1,3,1,3,0.9012987012987014,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
20,21,21,1,3,1,3,1,3,0.9428571428571428,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
30,21,21,1,3,1,3,1,3,0.9480519480519479,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
50,21,21,1,3,1,3,1,3,0.9324675324675323,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,21
5,21,17,1,2,1,2,1,2,0.4051948051948052,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
10,21,18,0,1,1,3,1,3,0.5337662337662338,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
15,21,19,1,2,1,3,1,3,0.42987012987012985,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
20,21,20,1,2,1,3,1,3,0.5597402597402598,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
30,21,21,0,2,1,3,1,3,0.7441558441558441,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
50,21,21,1,3,1,3,1,3,0.8363636363636363,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_splitmode_p30_obsnoise005_top3nd_init15_autodim__lc_sweep,21
5,10,10,1,1,1,1,1,2,0.35757575757575755,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
10,10,10,0,2,0,2,1,3,0.6969696969696969,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
15,10,10,0,2,0,2,1,3,0.6727272727272726,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
20,10,10,1,3,1,3,1,3,0.9272727272727272,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
30,10,9,1,3,1,3,1,3,0.9515151515151514,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
50,10,8,1,3,1,3,1,3,0.9515151515151514,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_sweep,10
